recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Asparagus, frozen, cooked with butter or margarine",1 cup,185.0,18.0,1.87,0.54,2.59,10.0,2.87,132.0,61.0,23.6,0.0,3.4595000000000002,5.309500000000001,4.7915,33.3,0.9990000000000001,18.5,244.2,43.66,0.0,112.85
"Asparagus, frozen, cooked with oil",1 piece,4.0,18.0,1.86,0.55,3.31,10.0,2.86,115.0,39.0,23.6,0.0,0.07440000000000001,0.1144,0.1324,0.72,0.022000000000000002,0.4,4.6,0.9440000000000001,0.0,1.56
"Asparagus, frozen, cooked, fat added, NS as to fat type",1 spear,16.0,18.0,1.86,0.55,2.95,10.0,2.86,124.0,50.0,23.6,0.0,0.29760000000000003,0.4576,0.47200000000000003,2.88,0.08800000000000001,1.6,19.84,3.7760000000000002,0.0,8.0
"Asparagus, frozen, cooked, no added fat",1 piece,4.0,18.0,1.91,0.56,0.42,10.0,2.94,119.0,40.0,24.3,0.0,0.0764,0.1176,0.0168,0.72,0.022400000000000003,0.4,4.76,0.972,0.0,1.6
"Asparagus, raw",Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0,2.6384,1.4960000000000002,0.0816,16.32,1.4552,9.52,1.36,3.8079999999999994,0.0,25.84
Atole,Quantity not specified,248.0,59.0,16.28,0.17,1.54,9.0,1.69,18.0,14.0,0.0,0.5,40.37440000000001,4.1912,3.8192000000000004,146.32,0.42160000000000003,22.32,44.64,0.0,1.24,34.72
Atole de avena,1 fl oz,31.0,56.0,15.46,0.1,1.58,9.0,1.74,18.0,14.0,0.0,0.5,4.7926,0.5394,0.4898,17.36,0.031,2.79,5.58,0.0,0.155,4.34
Atole de chocolate,1 cup,248.0,59.0,20.3,0.3,1.78,10.0,1.8,30.0,13.0,0.4,0.6,50.34400000000001,4.464,4.4144,146.32,0.7439999999999999,24.8,74.4,0.992,1.4879999999999998,32.24
Avocado dressing,1 tablespoon,15.3,34.0,7.36,0.35,43.33,7.0,1.9,867.0,10.0,0.2,0.0,1.12608,0.2907,6.62949,5.202000000000001,0.05354999999999999,1.0710000000000002,132.651,0.030600000000000006,0.0,1.53
"Avocado, for use on a sandwich",Guideline amount on large sandwich,45.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0,3.8385,0.9,6.597,5.4,0.24750000000000003,13.05,3.15,4.5,0.0,3.15
"Avocado, raw",1 fruit,150.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0,12.795,3.0,21.99,18.0,0.825,43.5,10.5,15.0,0.0,10.5
"Baby Toddler apples, Stage 1",Quantity not specified,110.0,4.0,10.8,0.22,0.2,3.0,0.2,0.0,1.0,38.3,0.0,11.88,0.22,0.22,4.4,0.242,3.3,0.0,42.13,0.0,1.1
"Baby Toddler apples, Stage 2",1 tub,110.0,5.0,10.3,0.22,0.0,3.0,0.0,1.0,0.0,37.8,0.0,11.33,0.0,0.0,5.5,0.242,3.3,1.1,41.58,0.0,0.0
"Baby Toddler bananas, Stage 1",1 tub,70.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0,14.937999999999999,0.7,0.14,2.8,0.21,18.2,1.4,15.33,0.0,0.0
