recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Nachos, beef or pork, with beans",1 chip,7.0,56.0,18.26,1.36,12.45,30.0,9.28,424.0,7.0,0.2,0.0,1.2782,0.6496,0.8714999999999999,3.92,0.0952,2.1,29.68,0.014000000000000002,0.0,0.49
"Nachos, cheese only",1 order,250.0,83.0,27.83,0.88,15.74,32.0,4.46,547.0,13.0,0.0,0.0,69.575,11.15,39.35,207.5,2.2,80.0,1367.5,0.0,0.0,32.5
"Nachos, chicken","1 item, any size",250.0,61.0,19.87,0.86,13.33,31.0,11.2,430.0,12.0,0.0,0.1,49.675,28.0,33.325,152.5,2.15,77.5,1075.0,0.0,0.25,30.0
"Nachos, chicken, with beans","1 item, any size",250.0,53.0,18.26,1.0,10.48,32.0,9.62,425.0,9.0,0.2,0.0,45.65,24.05,26.2,132.5,2.5,80.0,1062.5,0.5,0.0,22.5
"Nachos, with beans",1 cup,135.0,66.0,23.28,1.06,11.37,33.0,4.62,434.0,9.0,0.3,0.0,31.428,6.237,15.349499999999999,89.1,1.431,44.55,585.9,0.405,0.0,12.15
Natto,Quantity not specified,7.0,217.0,12.68,8.6,11.0,115.0,19.4,7.0,0.0,13.0,0.0,0.8876,1.3579999999999999,0.77,15.19,0.602,8.05,0.49,0.91,0.0,0.0
"Nectarine, raw",1 slice/chunk,20.0,2.0,9.18,0.3,0.28,9.0,1.06,13.0,21.0,2.9,0.0,1.8359999999999999,0.21200000000000002,0.05600000000000001,0.4,0.06,1.8,2.6,0.58,0.0,4.2
"Non-dairy milk, NFS",1 fl oz,30.5,153.0,3.04,0.32,1.6,10.0,1.14,51.0,35.0,0.0,1.0,0.9272,0.34769999999999995,0.48800000000000004,46.665,0.09759999999999999,3.05,15.555,0.0,0.305,10.675
Noodle pudding,1 cup,200.0,27.0,31.02,1.6,7.4,22.0,5.94,68.0,78.0,1.6,0.7,62.04,11.88,14.8,54.0,3.2,44.0,136.0,3.2,1.4,156.0
"Noodles with vegetables in tomato-based sauce, diet frozen meal",Quantity not specified,284.0,49.0,10.82,0.87,1.55,18.0,3.63,134.0,19.0,8.3,0.0,30.7288,10.3092,4.402,139.16,2.4708,51.12,380.56,23.572000000000003,0.0,53.96
"Noodles, chow mein",1 cup,56.0,21.0,51.9,1.76,31.72,21.0,10.33,378.0,0.0,0.0,0.0,29.064,5.784800000000001,17.763199999999998,11.76,0.9856,11.76,211.68,0.0,0.0,0.0
"Noodles, cooked","1 oz, dry, yields",75.0,12.0,25.01,1.46,2.06,21.0,4.51,236.0,6.0,0.0,0.1,18.757500000000004,3.3825,1.545,9.0,1.095,15.75,177.0,0.0,0.075,4.5
"Noodles, whole grain, cooked","1 cup, cooked",160.0,13.0,29.91,1.71,1.7,54.0,5.96,210.0,0.0,0.0,0.0,47.856,9.536,2.72,20.8,2.736,86.4,336.0,0.0,0.0,0.0
Nutella sandwich on wheat bread,Quantity not specified,90.0,143.0,51.31,3.58,12.93,59.0,9.32,301.0,0.0,0.1,0.0,46.179,8.388,11.637,128.7,3.222,53.1,270.9,0.09,0.0,0.0
Nutella sandwich on white bread,Quantity not specified,90.0,175.0,53.78,3.72,12.68,40.0,8.03,308.0,0.0,0.0,0.0,48.402,7.226999999999999,11.412,157.5,3.3480000000000003,36.0,277.2,0.0,0.0,0.0
Nutrition bar (Balance Original Bar),Quantity not specified,50.0,543.0,48.73,10.9,12.0,119.0,28.0,253.0,1496.0,11.2,1.6,24.365,14.0,6.0,271.5,5.45,59.5,126.5,5.6,0.8,748.0
Nutrition bar (Clif Bar),1 miniature bar,28.0,368.0,65.44,6.62,5.88,147.0,14.71,195.0,1.0,88.2,0.0,18.3232,4.1188,1.6463999999999999,103.04,1.8536000000000001,41.16,54.6,24.695999999999998,0.0,0.28
Nutrition bar (Clif Kids Organic Zbar),Quantity not specified,36.0,444.0,74.72,2.7,9.72,82.0,5.55,375.0,0.0,39.1,0.0,26.8992,1.9979999999999998,3.4992,159.84,0.972,29.52,135.0,14.076,0.0,0.0
Nutrition bar (PowerBar),Quantity not specified,68.0,504.0,69.63,11.7,3.11,248.0,14.15,308.0,0.0,92.3,0.0,47.3484,9.622,2.1148,342.72,7.9559999999999995,168.64,209.44,62.763999999999996,0.0,0.0
Nutrition bar (Slim Fast Original Meal Bar),Quantity not specified,56.0,668.0,60.21,4.98,8.92,250.0,16.19,253.0,940.0,96.6,5.4,33.717600000000004,9.066400000000002,4.9952,374.08,2.7888,140.0,141.68,54.096,3.0240000000000005,526.4
Nutrition bar (Snickers Marathon Protein Bar),Quantity not specified,80.0,625.0,50.5,10.13,12.5,175.0,25.0,238.0,652.0,75.0,3.8,40.4,20.0,10.0,500.0,8.104000000000001,140.0,190.4,60.0,3.04,521.6
Nutrition bar (South Beach Living High Protein Bar),1 bar,35.0,322.0,38.4,5.4,15.17,71.0,30.34,436.0,391.0,27.9,0.0,13.44,10.619000000000002,5.309500000000001,112.7,1.89,24.85,152.6,9.765,0.0,136.85
Nutrition bar (South Beach Living Meal Bar),Quantity not specified,50.0,668.0,60.21,4.98,8.92,250.0,16.19,253.0,940.0,96.6,5.4,30.105,8.095,4.46,334.0,2.49,125.0,126.5,48.3,2.7,470.0
Nutrition bar (Tiger's Milk),1 king size bar,55.0,429.0,56.46,10.28,14.29,336.0,16.8,168.0,1.0,16.8,0.0,31.053,9.24,7.8595,235.95,5.654,184.8,92.4,9.24,0.0,0.55
Nutrition bar (Zone Perfect Classic Crunch),1 snack size bar,20.0,200.0,45.0,3.6,14.0,80.0,30.0,444.0,1050.0,120.0,0.0,9.0,6.0,2.8,40.0,0.72,16.0,88.8,24.0,0.0,210.0
"Nutrition bar or meal replacement bar, NFS",Quantity not specified,34.0,284.0,55.22,5.11,9.94,114.0,22.36,320.0,526.0,104.1,0.0,18.7748,7.6024,3.3796,96.56,1.7374,38.76,108.8,35.394,0.0,178.84
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",Quantity not specified,248.0,135.0,17.29,1.73,5.38,38.0,5.38,77.0,84.0,23.1,2.3,42.8792,13.3424,13.3424,334.8,4.2904,94.24,190.96,57.288000000000004,5.704,208.32
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",Quantity not specified,341.0,130.0,0.85,0.96,3.38,44.0,6.59,72.0,171.0,19.4,1.1,2.8985,22.4719,11.525799999999998,443.3,3.2736,150.04,245.52,66.154,3.7510000000000003,583.11
"Nutritional drink or shake, high protein, ready-to-drink, NFS",1 single serving box (17 fl oz) Myoplex,544.0,130.0,0.85,0.96,3.38,44.0,6.59,72.0,171.0,19.4,1.1,4.624,35.8496,18.3872,707.2,5.2224,239.36,391.68,105.53599999999999,5.984000000000001,930.24
"Nutritional drink or shake, liquid, soy-based",Quantity not specified,247.0,135.0,17.29,1.73,5.38,38.0,5.38,77.0,84.0,23.1,2.3,42.7063,13.288599999999999,13.288599999999999,333.45,4.2731,93.86,190.19,57.05700000000001,5.680999999999999,207.48
"Nutritional drink or shake, ready-to-drink (Boost Plus)",1 fl oz,32.0,135.0,17.29,1.73,5.38,38.0,5.38,77.0,84.0,23.1,2.3,5.5328,1.7216,1.7216,43.2,0.5536,12.16,24.64,7.392,0.736,26.88
"Nutritional drink or shake, ready-to-drink (Boost)",1 bottle (8 fl oz),256.0,127.0,17.3,1.9,1.69,42.0,4.22,63.0,158.0,25.3,2.5,44.288000000000004,10.803199999999999,4.3264,325.12,4.864,107.52,161.28,64.768,6.4,404.48
"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",Quantity not specified,341.0,146.0,12.91,1.69,2.04,40.0,5.51,84.0,132.0,10.2,1.0,44.02310000000001,18.789099999999998,6.9563999999999995,497.86,5.762899999999999,136.4,286.44,34.782,3.41,450.12
"Nutritional drink or shake, ready-to-drink (Ensure Plus)",1 can,252.0,79.0,19.88,1.79,4.52,40.0,5.16,95.0,149.0,11.9,1.0,50.09759999999999,13.0032,11.3904,199.08,4.5108,100.8,239.4,29.988000000000003,2.52,375.48
"Nutritional drink or shake, ready-to-drink (Ensure)",1 cup,252.0,127.0,16.88,1.9,2.53,42.0,3.8,84.0,158.0,12.7,1.1,42.53759999999999,9.575999999999999,6.3755999999999995,320.04,4.787999999999999,105.84,211.68,32.004,2.7720000000000002,398.16
"Nutritional drink or shake, ready-to-drink (Muscle Milk)",1 fl oz,32.0,69.0,2.28,1.3,2.17,20.0,5.87,95.0,88.0,27.6,0.7,0.7295999999999999,1.8784,0.6944,22.08,0.41600000000000004,6.4,30.4,8.832,0.22399999999999998,28.16
"Nutritional drink or shake, ready-to-drink (Slim Fast)",1 can (11 fl oz),341.0,161.0,7.74,0.87,1.93,45.0,3.32,68.0,170.0,19.4,1.1,26.3934,11.3212,6.5813,549.01,2.9667000000000003,153.45,231.88,66.154,3.7510000000000003,579.7
"Nutritional drink or shake, ready-to-drink, NFS",1 fl oz,31.0,127.0,16.88,1.9,2.53,42.0,3.8,84.0,158.0,12.7,1.1,5.2328,1.178,0.7842999999999999,39.37,0.589,13.02,26.04,3.937,0.341,48.98
"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",1 bottle (14 fl oz),448.0,117.0,2.1,1.15,1.15,28.0,4.78,27.0,100.0,4.0,0.7,9.408000000000001,21.4144,5.151999999999999,524.16,5.151999999999999,125.44,120.96,17.92,3.1359999999999997,448.0
"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",1 bottle (8 fl oz),248.0,110.0,11.88,1.98,3.08,44.0,4.4,92.0,165.0,26.4,1.1,29.462400000000002,10.912,7.638400000000001,272.8,4.9104,109.12,228.16,65.472,2.728,409.2
"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",1 cup,248.0,161.0,7.74,0.87,1.93,45.0,3.32,68.0,170.0,19.4,1.1,19.1952,8.233600000000001,4.7863999999999995,399.28,2.1576,111.6,168.64,48.111999999999995,2.728,421.6
Nutritional powder mix (Carnation Instant Breakfast),Quantity not specified,37.0,285.0,66.2,12.82,1.4,228.0,19.9,385.0,625.0,76.9,0.0,24.494,7.3629999999999995,0.518,105.45,4.7434,84.36,142.45,28.453000000000003,0.0,231.25
Nutritional powder mix (EAS Soy Protein Powder),1 scoop EAS Whey,44.0,95.0,43.94,6.43,3.57,22.0,47.62,452.0,0.0,0.0,0.0,19.3336,20.952799999999996,1.5707999999999998,41.8,2.8291999999999997,9.68,198.88,0.0,0.0,0.0
Nutritional powder mix (EAS Whey Protein Powder),1 scoop EAS Whey,19.5,256.0,17.95,0.92,5.13,181.0,66.67,385.0,15.0,0.8,0.0,3.50025,13.00065,1.00035,49.92,0.1794,35.295,75.075,0.15600000000000003,0.0,2.925
Nutritional powder mix (Isopure),"1 scoop, NFS",26.0,698.0,29.07,1.26,1.16,233.0,58.14,372.0,872.0,34.9,0.0,7.5582,15.1164,0.3016,181.48,0.3276,60.58,96.72,9.074,0.0,226.72
Nutritional powder mix (Muscle Milk),1 scoop,35.0,500.0,18.5,8.57,17.14,200.0,45.71,329.0,750.0,30.0,5.0,6.475,15.998500000000002,5.999,175.0,2.9995,70.0,115.15,10.5,1.75,262.5
Nutritional powder mix (Slim Fast),Quantity not specified,26.0,364.0,73.92,0.68,13.34,385.0,8.13,472.0,1034.0,1.3,9.6,19.2192,2.1138000000000003,3.4684,94.64,0.17679999999999998,100.1,122.72,0.338,2.496,268.84
"Nutritional powder mix, NFS",Quantity not specified,34.0,285.0,66.2,12.82,1.4,228.0,19.9,385.0,625.0,76.9,0.0,22.508000000000003,6.765999999999999,0.4759999999999999,96.9,4.3588,77.52,130.9,26.146000000000004,0.0,212.5
"Nutritional powder mix, high protein (Herbalife)",1 scoop,12.5,714.0,20.38,22.5,10.71,500.0,53.57,1214.0,1875.0,75.0,12.5,2.5475,6.69625,1.33875,89.25,2.8125,62.5,151.75,9.375,1.5625,234.375
"Nutritional powder mix, high protein (Slim Fast)",Quantity not specified,26.0,1039.0,50.0,24.84,13.46,473.0,27.87,495.0,865.0,103.8,9.6,13.0,7.2462,3.4996000000000005,270.14,6.4584,122.98,128.7,26.987999999999996,2.496,224.9
"Nutritional powder mix, high protein, NFS",1 scoop Joe Weider's,45.0,714.0,20.38,22.5,10.71,500.0,53.57,1214.0,1875.0,75.0,12.5,9.171,24.1065,4.819500000000001,321.3,10.125,225.0,546.3,33.75,5.625,843.75
"Nutritional powder mix, light (Muscle Milk)",Quantity not specified,50.0,1200.0,22.0,12.0,12.0,280.0,50.0,250.0,1050.0,42.0,7.0,11.0,25.0,6.0,600.0,6.0,140.0,125.0,21.0,3.5,525.0
"Nutritional powder mix, protein, NFS",1 scoop,31.0,469.0,6.25,1.13,1.56,195.0,78.13,156.0,0.0,0.0,0.0,1.9375,24.220299999999998,0.4836,145.39,0.35029999999999994,60.45,48.36,0.0,0.0,0.0
"Nutritional powder mix, protein, light, NFS",1 tablespoon,4.0,1200.0,22.0,12.0,12.0,280.0,50.0,250.0,1050.0,42.0,7.0,0.88,2.0,0.48,48.0,0.48,11.2,10.0,1.68,0.28,42.0
"Nutritional powder mix, protein, soy based, NFS",Quantity not specified,36.0,178.0,28.89,12.0,5.56,64.0,55.56,733.0,0.0,0.0,0.0,10.4004,20.0016,2.0016,64.08,4.32,23.04,263.88,0.0,0.0,0.0
"Nutritional powder mix, sugar free (Carnation Instant Breakfast)",1 envelope,20.0,500.0,41.0,2.3,5.1,410.0,35.8,717.0,2686.0,138.0,0.0,8.2,7.16,1.02,100.0,0.46,82.0,143.4,27.6,0.0,537.2
"Nutritional powder mix, sugar free (Slim Fast)",1 scoop,14.0,364.0,73.92,0.68,13.34,385.0,8.13,472.0,1034.0,1.3,9.6,10.3488,1.1382,1.8676,50.96,0.0952,53.9,66.08,0.182,1.344,144.76
"Nutritional powder mix, whey based, NFS",1 scoop NOW Foods,32.0,469.0,6.25,1.13,1.56,195.0,78.13,156.0,0.0,0.0,0.0,2.0,25.0016,0.49920000000000003,150.08,0.3616,62.4,49.92,0.0,0.0,0.0
"Nuts, NFS",Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,5.851999999999999,5.4852,15.069600000000001,26.04,0.7728,54.88,87.64,0.11200000000000002,0.0,0.28
"Oat bran cereal, cooked","1 oz, dry, yields",150.0,14.0,12.28,0.95,1.3,45.0,3.21,69.0,0.0,0.0,0.0,18.42,4.815,1.95,21.0,1.425,67.5,103.5,0.0,0.0,0.0
Oat milk,Quantity not specified,244.0,155.0,5.37,0.21,2.33,8.0,0.66,43.0,0.0,0.0,1.7,13.1028,1.6104000000000003,5.6852,378.2,0.5124,19.52,104.92,0.0,4.148,0.0
"Oatmeal, NFS","1 cup, dry, yields",485.0,12.0,11.17,0.67,2.63,24.0,2.18,81.0,16.0,0.0,0.0,54.174499999999995,10.573000000000002,12.7555,58.2,3.2495000000000003,116.4,392.85,0.0,0.0,77.6
"Oatmeal, fast food, flavored",1 fast food order,240.0,31.0,20.34,0.7,2.33,24.0,2.4,163.0,11.0,0.1,0.0,48.816,5.76,5.5920000000000005,74.4,1.68,57.6,391.2,0.24,0.0,26.4
"Oatmeal, fast food, plain",1 fast food order,240.0,25.0,11.9,0.68,2.54,25.0,2.6,93.0,12.0,0.1,0.0,28.56,6.24,6.096,60.0,1.6320000000000001,60.0,223.2,0.24,0.0,28.8
"Oatmeal, instant, fruit flavored, fat added",Quantity not specified,240.0,66.0,19.51,2.55,3.4,23.0,2.29,145.0,192.0,0.0,0.1,46.824000000000005,5.496,8.16,158.4,6.12,55.2,348.0,0.0,0.24,460.8
"Oatmeal, instant, fruit flavored, no added fat",1 Keurig cup,170.0,67.0,20.09,2.62,1.19,24.0,2.34,131.0,174.0,0.0,0.0,34.153,3.9779999999999998,2.0229999999999997,113.9,4.454000000000001,40.8,222.7,0.0,0.0,295.8
"Oatmeal, instant, maple flavored, fat added","1 packet, dry, yields",163.0,69.0,19.64,2.65,3.45,24.0,2.38,150.0,200.0,0.0,0.1,32.013200000000005,3.8794,5.6235,112.47,4.3195,39.12,244.5,0.0,0.163,326.0
"Oatmeal, instant, maple flavored, no added fat",1 Keurig cup,170.0,70.0,20.23,2.73,1.25,24.0,2.44,136.0,183.0,0.0,0.0,34.391,4.148,2.125,119.0,4.641,40.8,231.2,0.0,0.0,311.1
"Oatmeal, instant, plain, made with milk, fat added",Quantity not specified,240.0,163.0,16.52,4.53,5.4,33.0,4.81,90.0,212.0,0.1,0.9,39.647999999999996,11.543999999999999,12.96,391.2,10.872,79.2,216.0,0.24,2.16,508.8
"Oatmeal, instant, plain, made with milk, no added fat",Quantity not specified,240.0,168.0,17.07,4.68,3.04,34.0,4.96,73.0,193.0,0.1,0.9,40.968,11.904000000000002,7.296,403.2,11.231999999999998,81.6,175.2,0.24,2.16,463.2
"Oatmeal, instant, plain, made with non-dairy milk, fat added","1 oz, cooked",28.35,185.0,15.12,4.78,4.98,31.0,3.09,99.0,195.0,0.0,0.8,4.286519999999999,0.876015,1.4118300000000001,52.4475,1.35513,8.7885,28.0665,0.0,0.22680000000000003,55.2825
"Oatmeal, instant, plain, made with non-dairy milk, no added fat","1 packet, dry, yields",148.0,190.0,15.62,4.93,2.6,32.0,3.18,83.0,175.0,0.0,0.8,23.117599999999996,4.7064,3.8480000000000003,281.2,7.2964,47.36,122.84,0.0,1.1840000000000002,259.0
"Oatmeal, instant, plain, made with water, fat added",1 Keurig cup,170.0,67.0,12.74,4.53,3.72,24.0,2.2,63.0,167.0,0.0,0.1,21.658,3.7400000000000007,6.324,113.9,7.7010000000000005,40.8,107.1,0.0,0.17,283.9
"Oatmeal, instant, plain, made with water, no added fat","1 packet, dry, yields",148.0,69.0,13.15,4.68,1.3,25.0,2.26,45.0,146.0,0.0,0.0,19.462,3.3447999999999998,1.9240000000000002,102.12,6.9264,37.0,66.6,0.0,0.0,216.08
"Oatmeal, multigrain","1 cup, dry, yields",485.0,9.0,12.19,0.46,0.46,20.0,2.12,70.0,0.0,0.0,0.0,59.1215,10.282,2.2310000000000003,43.65,2.2310000000000003,97.0,339.5,0.0,0.0,0.0
"Oatmeal, reduced sugar","1 packet, dry, yields",170.0,70.0,16.62,3.73,1.28,25.0,2.35,90.0,164.0,0.0,0.0,28.254,3.995,2.176,119.0,6.341,42.5,153.0,0.0,0.0,278.8
"Oatmeal, regular or quick, made with milk, fat added",Quantity not specified,240.0,133.0,15.95,0.67,4.75,35.0,5.48,115.0,73.0,0.1,1.1,38.28,13.152000000000001,11.4,319.2,1.608,84.0,276.0,0.24,2.64,175.2
"Oatmeal, regular or quick, made with milk, no added fat","1 cup, cooked",240.0,135.0,16.23,0.68,3.25,35.0,5.56,105.0,58.0,0.1,1.1,38.952000000000005,13.344,7.8,324.0,1.6320000000000001,84.0,252.0,0.24,2.64,139.2
"Oatmeal, regular or quick, made with non-dairy milk, fat added","1 oz, dry, yields",170.0,160.0,14.18,0.98,4.21,33.0,3.31,127.0,51.0,0.0,1.0,24.105999999999998,5.627000000000001,7.157,272.0,1.666,56.1,215.9,0.0,1.7,86.7
"Oatmeal, regular or quick, made with non-dairy milk, no added fat","1 cup, dry, yields",485.0,163.0,14.42,1.0,2.71,33.0,3.35,117.0,36.0,0.0,1.0,69.937,16.2475,13.1435,790.55,4.85,160.05,567.45,0.0,4.85,174.6
"Oatmeal, regular or quick, made with water, fat added",Quantity not specified,240.0,12.0,11.17,0.67,2.63,24.0,2.18,81.0,16.0,0.0,0.0,26.808000000000003,5.232,6.311999999999999,28.8,1.608,57.6,194.4,0.0,0.0,38.4
"Oatmeal, regular or quick, made with water, no added fat","1 cup, dry, yields",485.0,12.0,11.36,0.68,1.09,24.0,2.21,70.0,0.0,0.0,0.0,55.096,10.718499999999999,5.286500000000001,58.2,3.298,116.4,339.5,0.0,0.0,0.0
"Oats, raw",Quantity not specified,10.0,52.0,67.7,4.25,6.52,138.0,13.15,6.0,0.0,0.0,0.0,6.77,1.315,0.6519999999999999,5.2,0.425,13.8,0.6,0.0,0.0,0.0
Octopus,Quantity not specified,85.0,55.0,13.39,4.92,12.96,28.0,13.25,518.0,35.0,3.0,0.0,11.3815,11.2625,11.016000000000002,46.75,4.1819999999999995,23.8,440.3,2.55,0.0,29.75
"Octopus salad, Puerto Rican style",1 cup,180.0,44.0,5.56,3.3,11.95,24.0,9.67,129.0,38.0,8.9,0.0,10.008,17.406,21.51,79.2,5.94,43.2,232.2,16.02,0.0,68.4
"Oil or table fat, NFS",1 cup,224.0,10.0,0.18,0.1,87.67,1.0,0.29,296.0,391.0,0.0,0.9,0.4032,0.6496,196.38080000000002,22.4,0.22400000000000003,2.24,663.04,0.0,2.016,875.84
"Okra, NS as to form, cooked",Quantity not specified,83.0,86.0,7.76,0.65,2.94,59.0,2.02,137.0,48.0,20.4,0.0,6.440799999999999,1.6765999999999999,2.4402,71.38,0.5395,48.97,113.71,16.932,0.0,39.84
"Okra, fresh, cooked, fat added",Quantity not specified,83.0,86.0,7.76,0.65,2.94,59.0,2.02,137.0,48.0,20.4,0.0,6.440799999999999,1.6765999999999999,2.4402,71.38,0.5395,48.97,113.71,16.932,0.0,39.84
"Okra, fresh, cooked, no added fat",1 cup,160.0,88.0,7.99,0.66,0.2,61.0,2.07,132.0,37.0,21.0,0.0,12.784,3.312,0.32,140.8,1.056,97.6,211.2,33.6,0.0,59.2
"Okra, frozen, cooked, fat added",1 cup,190.0,72.0,6.21,0.51,2.78,39.0,1.59,124.0,26.0,9.3,0.0,11.799000000000001,3.0210000000000004,5.281999999999999,136.8,0.9690000000000001,74.1,235.6,17.67,0.0,49.4
"Okra, frozen, cooked, no added fat",Quantity not specified,93.0,74.0,6.39,0.52,0.24,40.0,1.62,119.0,15.0,9.6,0.0,5.942699999999999,1.5066,0.2232,68.82,0.4836,37.2,110.67,8.927999999999999,0.0,13.95
"Okra, pickled",1 pod,11.0,70.0,11.04,0.52,0.17,47.0,1.6,950.0,28.0,16.2,0.0,1.2144,0.17600000000000002,0.0187,7.7,0.05720000000000001,5.17,104.5,1.7819999999999998,0.0,3.08
Old fashioned,1 drink,180.0,10.0,6.11,0.06,0.04,2.0,0.16,4.0,2.0,8.6,0.0,10.998,0.28800000000000003,0.07200000000000001,18.0,0.10799999999999998,3.6,7.2,15.48,0.0,3.6
Olive oil,1 tablespoon,14.0,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.14,0.07840000000000001,0.0,0.28,0.0,0.0,0.0
Olive tapenade,Quantity not specified,32.0,60.0,4.17,3.4,30.05,5.0,0.73,835.0,14.0,0.4,0.0,1.3344,0.2336,9.616,19.2,1.088,1.6,267.2,0.128,0.0,4.48
"Olives, NFS",Quantity not specified,15.0,88.0,6.04,6.28,10.9,4.0,0.84,735.0,17.0,0.9,0.0,0.9059999999999999,0.126,1.635,13.2,0.9420000000000001,0.6,110.25,0.135,0.0,2.55
"Olives, black",1 olive,5.0,88.0,6.04,6.28,10.9,4.0,0.84,735.0,17.0,0.9,0.0,0.302,0.042,0.545,4.4,0.314,0.2,36.75,0.045,0.0,0.85
"Olives, green",1 cup,135.0,52.0,3.84,0.49,15.32,11.0,1.03,1556.0,20.0,0.0,0.0,5.184,1.3905,20.682,70.2,0.6615000000000001,14.85,2100.6,0.0,0.0,27.0
"Olives, stuffed",1 cup,135.0,121.0,4.96,0.31,12.9,12.0,1.15,1620.0,25.0,0.0,0.0,6.696000000000001,1.5525,17.415,163.35,0.41850000000000004,16.2,2187.0,0.0,0.0,33.75
"Onion dip, light",Quantity not specified,60.0,74.0,11.87,0.1,12.36,7.0,2.0,481.0,44.0,0.9,0.2,7.121999999999999,1.2,7.4159999999999995,44.4,0.06,4.2,288.6,0.54,0.12,26.4
"Onion dip, regular",Quantity not specified,60.0,65.0,3.92,0.1,35.77,7.0,2.15,563.0,73.0,0.9,0.2,2.352,1.29,21.462000000000003,39.0,0.06,4.2,337.8,0.54,0.12,43.8
"Onion dip, yogurt based",Quantity not specified,60.0,93.0,4.06,0.08,12.91,10.0,6.82,507.0,66.0,1.1,0.2,2.4359999999999995,4.0920000000000005,7.746,55.8,0.048,6.0,304.2,0.66,0.12,39.6
Onion flavored rings,1 small single serving bag,28.0,29.0,65.1,3.72,22.6,28.0,7.7,950.0,8.0,1.8,0.0,18.227999999999998,2.156,6.328,8.12,1.0416,7.84,266.0,0.504,0.0,2.24
"Onions, cooked, fat added",Quantity not specified,108.0,27.0,10.64,0.24,3.11,11.0,1.26,147.0,13.0,7.2,0.0,11.491200000000001,1.3608000000000002,3.3588,29.16,0.2592,11.88,158.76,7.776,0.0,14.04
"Onions, cooked, no added fat",1 whole,148.0,27.0,10.96,0.25,0.12,12.0,1.29,141.0,0.0,7.4,0.0,16.2208,1.9092000000000002,0.17759999999999998,39.96,0.37,17.76,208.68,10.952,0.0,0.0
"Onions, for use on a sandwich",Guideline amount on large sandwich,30.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0,2.5380000000000003,0.258,0.024,5.1,0.072,2.7,0.3,2.4599999999999995,0.0,0.0
"Onions, green, cooked",1 whole,15.0,83.0,8.37,1.69,3.21,23.0,2.09,161.0,67.0,18.2,0.0,1.2554999999999998,0.3135,0.4815,12.45,0.2535,3.45,24.15,2.73,0.0,10.05
"Onions, green, raw",Quantity not specified,15.0,72.0,7.34,1.48,0.19,20.0,1.83,16.0,50.0,18.8,0.0,1.101,0.2745,0.0285,10.8,0.222,3.0,2.4,2.82,0.0,7.5
"Onions, pearl, cooked",1 cup,185.0,27.0,6.49,0.33,2.59,8.0,0.7,129.0,11.0,4.9,0.0,12.0065,1.295,4.7915,49.95,0.6105,14.8,238.65,9.065000000000001,0.0,20.35
"Onions, raw",Quantity not specified,15.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0,1.2690000000000001,0.129,0.012,2.55,0.036,1.35,0.15,1.2299999999999998,0.0,0.0
Opossum,1 cup,135.0,17.0,0.0,4.6,10.12,34.0,29.96,365.0,0.0,0.0,0.0,0.0,40.446,13.661999999999999,22.95,6.21,45.9,492.75,0.0,0.0,0.0
Orange Blossom,1 drink,225.0,42.0,9.32,0.06,0.26,8.0,0.57,2.0,1.0,21.2,0.3,20.97,1.2825,0.585,94.5,0.135,18.0,4.5,47.7,0.675,2.25
Orange chicken,1 cup,252.0,14.0,22.46,0.94,12.68,20.0,14.46,553.0,75.0,0.9,0.1,56.5992,36.4392,31.9536,35.28,2.3688,50.4,1393.56,2.2680000000000002,0.252,189.0
"Orange juice beverage, 40-50% juice, light",1 fl oz (with ice),23.0,0.0,5.42,0.0,0.0,10.0,0.21,4.0,10.0,30.0,0.0,1.2466,0.0483,0.0,0.0,0.0,2.3,0.92,6.9,0.0,2.3
"Orange juice, 100%,  freshly squeezed",1 fl oz (no ice),31.0,9.0,10.01,0.07,0.36,10.0,0.81,0.0,2.0,30.5,0.0,3.1031,0.25110000000000005,0.1116,2.79,0.021700000000000004,3.1,0.0,9.455,0.0,0.62
